,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
80,1172,6256d00b7d6ca6ad95bd589e,2022-01-19T23:00:00.000Z,Yu#5549,chuygarcia.eth#6692,for their work bringing chinese translations to the TEC <:TEC_full:835017653306654730>,13,34,55,0,Maxwe11#7157,Mike Brunt#0745,divine_comedian#5493,"griff (💜, 💜)#8888",34,55
82,1066,6256d00b7d6ca6ad95bd5834,2022-01-16T23:00:00.000Z,chuygarcia.eth#6692,AnaTech#7412,"for an amazing explanation of \""Why we need token engineering\"" and giving us some tips and great material to look for, as well thank you for all your patiente and love you put into this awesome project",0,55,5,0,hanners717#2022,Mike Brunt#0745,Usua◎ Silver#2618,innov8tor3#3988,30,55
83,1302,6256d00b7d6ca6ad95bd5920,2022-01-20T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for helping our DAO evolve into its next phase,55,5,21,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,27,55
85,865,6256d00b7d6ca6ad95bd576b,2022-01-15T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for all the test deployments this week and then finally the launch,55,5,55,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,38,55
86,510,6256d00b7d6ca6ad95bd5608,2022-01-10T23:00:00.000Z,Vyvy-vi#5040,kristofer#1475,for hacking away at the discord meeting tracker bot for sourcecred!,0,8,13,55,Mettodo#7010,Tam2140#9361,divine_comedian#5493,bear100#9085,25,55
88,439,6256d00b7d6ca6ad95bd55c1,2022-01-10T23:00:00.000Z,Juankbell#7458,akrtws (TE Academy)#4246,"for a token launch 🙌 👏  all resources right where you need it, thank you!",0,21,13,55,hanners717#2022,missgene#7773,PhilH#1102,bear100#9085,29,55
91,29,621f79e443b89009366ca7d7,2021-12-28T23:00:00.000Z,willyfox#1178,chuygarcia.eth#6692,"for the incredible, mindblowing Giveth launch <:givepurple:809545200925671485> we're proud of you 🥲",0,5,8,55,hanners717#2022,bends#3537,shawn#7046,bear100#9085,22,55
92,30,621f79e443b89009366ca7d8,2021-12-28T23:00:00.000Z,mateodaza#3156,chuygarcia.eth#6692,"for the incredible, mindblowing Giveth launch <:givepurple:809545200925671485> we're proud of you 🥲",0,13,21,55,Mettodo#7010,missgene#7773,PhilH#1102,bear100#9085,29,55
93,500,6256d00b7d6ca6ad95bd55fe,2022-01-10T23:00:00.000Z,kristofer#1475,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,0,8,13,55,hanners717#2022,lee0007#8152,shawn#7046,Parrachia#0450,25,55
94,1597,6256d00b7d6ca6ad95bd5a47,2022-01-26T23:00:00.000Z,🐙 octopus#5508,akrtws (TE Academy)#4246,for working full speed on TE Fundamentals since 2021!,8,55,34,0,Maxwe11#7157,Mike Brunt#0745,tigeroid#2951,innov8tor3#3988,32,55
96,324,6256d00a7d6ca6ad95bd554e,2022-01-09T23:00:00.000Z,alantv#0964,Mount Manu#3530,for attending the Animation & Video Production T.E.A.M. sync,5,1,1,55,Mount Manu#3530,bends#3537,tigeroid#2951,Parrachia#0450,15,54
97,894,6256d00b7d6ca6ad95bd5788,2022-01-15T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for his leadership in this project,3,8,55,1,Mount Manu#3530,bends#3537,tigeroid#2951,eduardovegap#0422,16,54
98,1591,6256d00b7d6ca6ad95bd5a41,2022-01-26T23:00:00.000Z,ygg_anderson#4998,akrtws (TE Academy)#4246,"for being wonderful mentors & teachers, session after session in the DAO Rewards Systems Program",21,8,55,1,Zeptimus#3359,lee0007#8152,liviade#1387,boonjue.eth#7124,21,54
99,1182,6256d00b7d6ca6ad95bd58a8,2022-01-19T23:00:00.000Z,ygg_anderson#4998,Juankbell#7458,for stewarding the proposal inverter as one game changing  development for DAO2DAO 🙌,21,5,55,3,Zeptimus#3359,lee0007#8152,liviade#1387,boonjue.eth#7124,21,52
100,1596,6256d00b7d6ca6ad95bd5a46,2022-01-26T23:00:00.000Z,Tam2140#9361,Vyvy-vi#5040,for being an awesome steward and putting a lot of energy into managing coordination and always having very valuable insight on various topics.,5,13,55,3,Mount Manu#3530,missgene#7773,divine_comedian#5493,boonjue.eth#7124,19,52
101,298,6256d00a7d6ca6ad95bd5534,2022-01-09T23:00:00.000Z,MorganicMovement 🍄#1085,Mount Manu#3530,"for increasingly contributing to Gravity, even as relative newcomers",5,5,13,55,Maxwe11#7157,Tam2140#9361,tigeroid#2951,Parrachia#0450,19,50
102,1025,6256d00b7d6ca6ad95bd580b,2022-01-16T23:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for doing a great job of Hatcher Outreach and individually reaching out to (almost) all Hatchers,13,55,21,5,Zeptimus#3359,Mike Brunt#0745,shawn#7046,eduardovegap#0422,23,50
103,640,6256d00b7d6ca6ad95bd568a,2022-01-10T23:00:00.000Z,markop#2007,Mount Manu#3530,for the Giveconomy launch (which was extraordinary),13,5,8,55,Maxwe11#7157,bends#3537,Usua◎ Silver#2618,bear100#9085,20,50
104,25,621f79e443b89009366ca7d3,2021-12-28T23:00:00.000Z,karmaticacid#1218,chuygarcia.eth#6692,"for the incredible, mindblowing Giveth launch <:givepurple:809545200925671485> we're proud of you 🥲",21,55,21,5,Zeptimus#3359,Mike Brunt#0745,shawn#7046,eduardovegap#0422,25,50
105,1647,6256d00b7d6ca6ad95bd5a79,2022-01-26T23:00:00.000Z,karmaticacid#1218,chuygarcia.eth#6692,"for her ENORMOUS support to comms, always bringing in fresh ideas to many communities, not only us! and pushing us to be better amplify messengers, we love ya tons <:PeepoBeeKind:769369963609718804>",13,55,13,5,Zeptimus#3359,Mike Brunt#0745,shawn#7046,eduardovegap#0422,21,50
106,1359,6256d00b7d6ca6ad95bd5959,2022-01-20T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for being on top of every process about the Commons Upgrade and for communicating to everyone with your usual enthusiasm,5,55,21,8,Mount Manu#3530,bends#3537,tigeroid#2951,eduardovegap#0422,22,50
107,1519,6256d00b7d6ca6ad95bd59f9,2022-01-24T23:00:00.000Z,angieberryberry#9822,chuygarcia.eth#6692,"for prepping a \""how to get $TEC\"" guide",21,8,13,55,Maxwe11#7157,lee0007#8152,PhilH#1102,Parrachia#0450,24,47
108,1527,6256d00b7d6ca6ad95bd5a01,2022-01-24T23:00:00.000Z,natesuits#4789,GideonRo#3175,for digging into the unglamorous and yet critically important work of figuring out security issues related to the credentials for our various IT systems.,8,55,8,8,Mount Manu#3530,Tam2140#9361,PhilH#1102,bear100#9085,19,47
109,144,6256d00a7d6ca6ad95bd549a,2022-01-05T23:00:00.000Z,Tam2140#9361,karmaticacid#1218,for organizing hatcher outreach for the commons upgrade,13,21,55,8,Mount Manu#3530,missgene#7773,divine_comedian#5493,boonjue.eth#7124,24,47
110,590,6256d00b7d6ca6ad95bd5658,2022-01-10T23:00:00.000Z,natesuits#4789,Mount Manu#3530,"for all the project management work that they do (sometimes in the background, sometimes in the foreground)",8,13,8,55,Mount Manu#3530,Tam2140#9361,PhilH#1102,bear100#9085,21,47
111,710,6256d00b7d6ca6ad95bd56d0,2022-01-12T23:00:00.000Z,Zeptimus#3359,divine_comedian#5493,for updating the quantifier onboarding document,21,13,8,55,zhiwei#1356,AmwFund#0979,liviade#1387,Parrachia#0450,24,47
112,44,621f79e443b89009366ca7e8,2021-12-29T23:00:00.000Z,"griff (💜, 💜)#8888",Juankbell#7458,for his leadership and inspiration. Thanks for your support to so many people finding their place in the DAOspace,8,21,55,13,Mount Manu#3530,bends#3537,tigeroid#2951,eduardovegap#0422,24,47
113,171,6256d00a7d6ca6ad95bd54b5,2022-01-09T23:00:00.000Z,AmwFund#0979,Tam2140#9361,for doing all the Hatcher outreach over the weekend and peronally reaching out to all Hatchers whose discord names we don't have so that they know that the time to vote is now! 🙌🏽,21,8,55,13,Maxwe11#7157,bends#3537,liviade#1387,bear100#9085,24,47
114,172,6256d00a7d6ca6ad95bd54b6,2022-01-09T23:00:00.000Z,karmaticacid#1218,Tam2140#9361,for doing all the Hatcher outreach over the weekend and peronally reaching out to all Hatchers whose discord names we don't have so that they know that the time to vote is now! 🙌🏽,13,55,8,13,Zeptimus#3359,Mike Brunt#0745,shawn#7046,eduardovegap#0422,22,47
